# timestamp,gaze_x,gaze_y,left_position_x,left_position_y,left_pupil,right_position_x,right_position_y,right_pupil
1467795374.095704,1291.622012,462.958627,-17.233934,-54.333853,3.050665,40.087967,-50.960974,2.934938
1467795374.112442,1297.407218,469.409010,-17.221188,-54.347617,3.031269,40.107533,-50.979695,2.936655
1467795374.129102,1296.240032,467.441060,-17.226463,-54.344207,3.029201,40.106979,-50.955940,2.946611
1467795374.145656,1298.426945,468.943099,-17.246294,-54.343333,3.054406,40.092014,-50.929330,2.954730
1467795374.162360,1301.391200,468.529048,-17.279748,-54.347253,3.058490,40.065193,-50.915431,2.962089
1467795374.179052,1299.807161,469.896960,-17.342435,-54.364424,3.071582,40.018537,-50.904397,2.974824
1467795374.195633,1295.135316,469.057373,-17.402693,-54.368324,3.082723,39.934494,-50.885838,2.973220
1467795374.212295,1297.654006,470.919128,-17.461510,-54.376246,3.080941,39.866443,-50.883478,3.005579
1467795374.228992,1300.732039,470.648888,-17.509112,-54.396426,3.086640,39.857777,-50.872001,3.006320
1467795374.245676,1297.825423,473.421385,-17.529483,-54.370294,3.096458,39.784489,-50.860243,3.008928
1467795374.262462,1297.159396,465.868465,-17.578454,-54.381732,3.104937,39.763344,-50.853326,3.005894
1467795374.278940,1300.626553,469.962495,-17.616228,-54.411567,3.123052,39.739416,-50.873988,3.008534
1467795374.295603,1227.295216,472.335423,-17.872243,-54.424238,3.126174,39.457416,-50.867800,3.024097
1467795374.312384,1051.204858,482.271632,-18.313626,-54.409529,3.144733,38.877497,-50.811334,3.023698
1467795374.328936,1056.926120,489.252106,-18.417926,-54.396615,3.146950,38.700058,-50.756847,3.026246
1467795374.345605,1036.217476,482.359937,-18.472918,-54.317195,3.157416,38.576550,-50.660081,3.023754
1467795374.362238,1046.487611,495.769623,-18.508779,-54.295574,3.165149,38.487411,-50.600822,3.021467
1467795374.378915,1044.470261,500.876113,-18.550970,-54.260009,3.153434,38.381765,-50.490916,3.059084
1467795374.395648,1041.597027,503.140530,-18.574541,-54.226092,3.143143,38.308930,-50.436138,3.061769
1467795374.412297,1044.133757,512.895572,-18.571977,-54.161591,3.175434,38.254137,-50.366527,3.064812
1467795374.428918,1042.700204,506.424128,-18.574416,-54.137117,3.173119,38.196438,-50.317591,3.062038
1467795374.445549,1039.980600,521.410928,-18.585278,-54.124787,3.193747,38.173854,-50.300505,3.063258
1467795374.462201,1039.343002,526.794086,-18.584825,-54.110147,3.188033,38.127246,-50.261729,3.078552
1467795374.478977,1039.558030,520.609305,-18.585909,-54.099029,3.204126,38.099472,-50.223798,3.067750
1467795374.495551,1036.409777,525.935580,-18.574104,-54.053425,3.212036,38.092659,-50.182938,3.060090
1467795374.512263,1037.354666,524.223565,-18.538533,-53.994028,3.218828,38.080052,-50.137701,3.056965
1467795374.529048,1038.673213,525.939014,-18.513877,-53.940161,3.230077,38.074729,-50.099052,3.061522
1467795374.545734,1038.407651,533.401400,-18.495747,-53.915334,3.229056,38.064392,-50.075596,3.060815
1467795374.562314,1038.532802,531.868044,-18.478001,-53.888996,3.247908,38.052205,-50.071666,3.068828
1467795374.579079,1037.655595,532.746609,-18.483050,-53.897849,3.257040,38.054468,-50.083920,3.073348
1467795374.595630,1037.261976,526.724588,-18.486689,-53.882190,3.239907,38.029953,-50.089983,3.081349
1467795374.612464,1036.792696,530.936895,-18.486297,-53.885572,3.217958,38.006612,-50.086602,3.087857
1467795374.629176,1019.842308,524.975254,-18.528647,-53.900388,3.218519,37.967523,-50.057825,3.080347
1467795374.645628,1032.834274,529.379631,-18.517430,-53.917315,3.233218,37.927230,-50.026097,3.070919
1467795374.662389,1032.390288,530.699971,-18.519822,-53.910537,3.231245,37.941233,-50.038920,3.055386
1467795374.679025,1029.153475,524.546301,-18.534918,-53.921748,3.237745,37.923064,-50.033399,3.046640
1467795374.695715,1024.038446,523.810808,-18.569930,-53.913682,3.249677,37.899604,-50.034034,3.045325
1467795374.712289,1026.512244,523.614368,-18.618621,-53.917125,3.233283,37.865156,-50.026821,3.041378
1467795374.728979,1028.042448,515.259686,-18.651334,-53.914836,3.217664,37.837525,-50.010013,3.043761
1467795374.745755,1021.440507,522.005696,-18.703225,-53.941702,3.205493,37.807895,-50.042146,3.028694
1467795374.762350,1019.852586,520.129891,-18.738371,-53.932107,3.206944,37.770314,-50.032563,3.040938
1467795374.778941,1020.912850,522.594870,-18.773455,-53.924722,3.201814,37.734635,-50.009223,3.046245
1467795374.795514,1019.355464,523.429507,-18.803145,-53.898862,3.181394,37.706213,-49.990276,3.016334
1467795374.812200,1017.805018,527.289629,-18.830808,-53.885939,3.179106,37.667922,-49.998363,3.007965
1467795374.828920,1020.036719,521.781591,-18.902608,-53.917356,3.174860,37.610291,-49.978148,2.984074
1467795374.845571,1019.747970,528.081255,-18.952238,-53.912126,3.182019,37.536361,-49.944742,3.001127
1467795374.862249,1021.001047,523.979732,-18.997188,-53.903193,3.179862,37.484136,-49.910903,2.982423
1467795374.878992,1021.521336,528.153012,-19.021001,-53.892411,3.170750,37.440555,-49.901540,2.968990
1467795374.895610,1015.675524,530.296173,-19.046829,-53.914199,3.168762,37.397654,-49.889753,2.970449
1467795374.912226,1017.817258,530.576088,-19.068881,-53.943785,3.160696,37.384405,-49.885504,2.974435
1467795374.928867,1018.903581,527.480814,-19.060353,-53.938326,3.142661,37.375879,-49.882768,2.967704
1467795374.945594,1019.465998,534.279356,-19.082975,-53.947600,3.136224,37.357363,-49.875132,2.963875
1467795374.962200,1018.774410,538.908511,-19.102053,-53.944039,3.127080,37.319743,-49.851874,2.968384
1467795374.978868,1021.573447,533.676648,-19.124995,-53.941915,3.121095,37.292615,-49.833757,2.958298
