# timestamp,gaze_x,gaze_y,left_position_x,left_position_y,left_pupil,right_position_x,right_position_y,right_pupil
1467798439.636342,1288.485679,697.082042,-34.967935,-11.629563,2.885569,24.988046,-17.602303,2.849785
1467798439.652840,1288.255234,692.892675,-35.030009,-11.696078,2.885681,24.936699,-17.674553,2.863131
1467798439.669514,1291.982124,694.633550,-35.066597,-11.710239,2.896401,24.886279,-17.711950,2.867520
1467798439.686160,1290.487038,694.582456,-35.077630,-11.690914,2.901715,24.846441,-17.689928,2.868984
1467798439.702830,1290.872022,694.680892,-35.169208,-11.665239,2.897733,24.779644,-17.639127,2.874606
1467798439.719559,1291.085797,693.597952,-35.287032,-11.630149,2.912113,24.742929,-17.555566,2.884532
1467798439.736173,1288.056098,694.267893,-35.246864,-11.577386,2.914787,24.624891,-17.523264,2.894741
1467798439.752900,1291.663330,692.795005,-35.464148,-11.627942,2.919131,24.507986,-17.538152,2.904003
1467798439.769602,1289.407031,692.011238,-35.615580,-11.685850,2.916189,24.370398,-17.578435,2.913407
1467798439.786216,1287.037206,689.290802,-35.769297,-11.761700,2.924923,24.209865,-17.647046,2.913421
1467798439.802819,1288.930390,689.833218,-35.927810,-11.837791,2.934563,24.098438,-17.692079,2.923613
1467798439.819433,1290.001044,691.263216,-35.978065,-11.861035,2.955268,24.025655,-17.698922,2.920653
1467798439.836274,1289.856792,690.113765,-36.044042,-11.859340,2.957731,23.981976,-17.679285,2.934469
1467798439.853017,1289.324126,686.831632,-36.039504,-11.831069,2.944420,23.982402,-17.634941,2.932464
1467798439.869694,1288.730140,688.195884,-36.084663,-11.806659,2.951581,23.946543,-17.592896,2.932899
1467798439.886396,1284.644421,690.929406,-36.283099,-11.902948,2.952454,23.750034,-17.664941,2.920109
1467798439.903089,1140.034202,729.414655,-36.574688,-11.991238,2.941580,23.059810,-17.793996,2.919980
1467798439.919702,1115.584039,744.159521,-36.630667,-11.945928,2.931062,22.711537,-17.759879,2.934433
1467798439.936454,1118.150185,729.907325,-36.785744,-12.034024,2.918811,22.596516,-17.795868,2.917359
1467798439.953043,1112.816006,745.480027,-36.904087,-12.105213,2.922129,22.507685,-17.806271,2.926143
1467798439.969634,1103.946325,731.783627,-36.885966,-12.092119,2.911057,22.395182,-17.740702,2.911023
1467798439.986483,1107.111604,744.613116,-36.794559,-12.072679,2.904500,22.387582,-17.703785,2.911727
1467798440.002989,1108.305749,741.098358,-36.762566,-12.044557,2.904380,22.400234,-17.666133,2.896781
1467798440.019624,1103.362084,742.519420,-36.481682,-11.922013,2.886498,22.327749,-17.594804,2.891392
1467798440.036565,1095.398197,741.842651,-36.339728,-11.887470,2.893647,22.268435,-17.552353,2.878860
1467798440.052980,1102.587245,744.385566,-36.493025,-11.870191,2.889413,22.218910,-17.539476,2.879306
1467798440.069573,1099.518433,748.859031,-36.427218,-11.862984,2.881515,22.139142,-17.542543,2.880111
1467798440.086501,1097.378919,754.538879,-36.592434,-11.927517,2.883130,22.081248,-17.576180,2.885020
1467798440.103092,1033.007122,743.988682,-36.592151,-11.896116,2.903349,21.913369,-17.540642,2.884720
1467798440.119572,1030.218685,733.420694,-36.804575,-11.909314,2.904866,21.733236,-17.482632,2.892263
1467798440.136265,1026.336144,745.795117,-36.653054,-11.855465,2.910256,21.726676,-17.434105,2.893581
1467798440.153054,1030.126147,742.437621,-36.649762,-11.837764,2.911054,21.696110,-17.415805,2.896019
1467798440.169841,1028.500748,736.074226,-36.744872,-11.875983,2.901764,21.668879,-17.392593,2.905544
1467798440.186300,1024.858895,731.755633,-36.812465,-11.859834,2.896195,21.632694,-17.401730,2.910139
1467798440.202957,1019.374732,732.719060,-36.830791,-11.835488,2.897446,21.532346,-17.341615,2.893004
1467798440.219579,1025.842881,727.416050,-36.908243,-11.839732,2.898573,21.475681,-17.320232,2.879795
