# timestamp,gaze_x,gaze_y,left_position_x,left_position_y,left_pupil,right_position_x,right_position_y,right_pupil
1467791255.559219,1312.804402,704.576401,0.235908,-11.574643,3.057010,58.990183,-14.179673,2.960963
1467791255.575851,1138.060839,525.224990,0.005703,-10.895933,3.046450,58.235784,-13.366967,2.969684
1467791255.592521,1083.204224,427.535614,-0.206143,-10.247525,3.046743,57.903732,-12.675349,2.973515
1467791255.609196,1067.019001,414.923554,-0.370229,-9.845392,3.037880,57.825339,-12.189289,2.972402
1467791255.625842,1066.100866,408.195103,-0.525775,-9.434358,3.022092,57.677482,-11.694100,2.974149
1467791255.642501,1064.884925,409.514021,-0.691412,-8.985849,3.014861,57.532993,-11.175378,2.981711
1467791255.659200,1063.887510,416.560658,-0.868386,-8.609889,3.012010,57.283325,-10.687296,2.978203
1467791255.675889,1059.326162,416.108302,-1.077324,-8.325737,3.034413,57.041922,-10.293492,2.966635
1467791255.692604,1058.219914,417.601553,-1.240939,-8.110345,3.030952,56.817033,-10.018822,2.972931
1467791255.709141,1050.672286,368.557875,-1.386719,-7.836520,3.026041,56.528747,-9.617958,2.973789
1467791255.725822,1044.749000,192.507023,-1.501117,-7.432391,3.009765,56.204625,-9.013477,2.959403
1467791255.742487,1048.096593,168.986652,-1.621312,-7.195353,2.999796,56.059183,-8.710302,2.947784
1467791255.759175,1044.504063,160.773453,-1.843225,-7.020303,3.013781,55.936124,-8.453089,2.940904
1467791255.775837,1043.805668,160.375057,-2.037398,-6.743799,3.011953,55.776745,-8.131618,2.932940
1467791255.792442,1039.823381,153.387495,-2.240901,-6.496461,2.994527,55.566154,-7.813888,2.927716
1467791255.809098,1032.909478,149.674909,-2.459777,-6.261932,2.998414,55.392545,-7.508624,2.926869
1467791255.825968,1033.426852,147.220540,-2.665830,-6.090093,2.994496,55.312445,-7.283046,2.921501
1467791255.842619,1033.428226,144.728341,-2.859730,-6.011351,2.992609,55.169640,-7.164177,2.916176
1467791255.859229,1029.493002,141.573398,-3.038897,-6.013294,2.988672,55.039354,-7.135780,2.913744
1467791255.875796,1028.390595,139.717829,-3.198349,-6.078672,2.977661,54.947547,-7.177416,2.903336
1467791255.892465,1031.416344,136.791154,-3.347155,-6.117006,2.971540,54.912231,-7.216023,2.902569
1467791255.909236,1032.509014,130.923397,-3.477051,-6.128915,2.967721,54.842861,-7.206007,2.896019
1467791255.925750,1029.015208,130.757242,-3.618070,-6.143826,2.949081,54.674138,-7.189639,2.890812
1467791255.942418,1029.964846,128.414649,-3.780593,-6.085069,2.941821,54.564879,-7.121112,2.886262
1467791255.959088,1028.535823,123.962934,-3.960540,-5.942562,2.943018,54.455722,-6.978139,2.870511
1467791255.975759,1030.007053,120.156411,-4.135409,-5.785031,2.927391,54.302852,-6.804040,2.868960
1467791255.992418,1032.125761,119.990428,-4.298477,-5.675355,2.927013,54.159522,-6.658576,2.864413
1467791256.009018,1033.599570,117.229263,-4.469834,-5.604236,2.921983,54.042282,-6.573097,2.857084
1467791256.025728,1032.583610,118.779058,-4.630173,-5.617564,2.914889,53.874397,-6.550794,2.859177
1467791256.042385,1031.505018,122.730061,-4.814812,-5.623925,2.906083,53.720943,-6.538593,2.853976
1467791256.059061,1033.710586,125.471493,-4.983585,-5.630573,2.895586,53.587240,-6.482368,2.840817
