# timestamp,gaze_x,gaze_y,left_position_x,left_position_y,left_pupil,right_position_x,right_position_y,right_pupil
1467880875.226915,815.822012,525.535879,0.000000,0.000000,0.000000,13.464429,-18.354892,4.024100
1467880875.243604,744.055917,443.870589,0.000000,0.000000,0.000000,13.226807,-18.104489,4.013874
1467880875.260236,741.864618,485.118245,-47.489121,-10.263536,3.686233,13.009084,-17.722435,4.006348
1467880875.276906,757.935516,483.788481,-47.675892,-9.860128,3.686193,12.775122,-17.312038,3.997396
1467880875.293574,763.162604,486.331581,-47.959587,-9.508788,3.665301,12.544912,-16.925107,3.989270
1467880875.310251,749.961191,485.520354,-48.193307,-9.214902,3.660828,12.290536,-16.537391,4.006871
1467880875.326868,745.461373,492.116615,-48.517578,-8.926486,3.655469,12.063499,-16.215394,3.988823
1467880875.343544,777.574673,525.163539,-48.709622,-8.680680,3.674345,11.825132,-15.886020,3.970554
1467880875.360202,772.032404,493.547046,-48.887321,-8.454078,3.662324,11.638783,-15.617214,3.969966
1467880875.376975,785.063316,499.288257,-49.007401,-8.271544,3.668554,11.481760,-15.392280,3.938350
1467880875.393767,775.561433,525.713093,-49.124998,-8.069861,3.648504,11.345602,-15.159103,3.944346
1467880875.410176,785.155315,520.818498,-49.298634,-7.840090,3.636638,11.230114,-14.858852,3.936981
1467880875.426846,782.674658,461.587007,-49.264706,-7.291862,3.632544,11.037866,-14.320074,3.928687
1467880875.443548,779.517735,293.475111,-49.369115,-6.794849,3.644829,10.913014,-13.819955,3.933159
1467880875.460267,769.857411,258.185911,-49.484753,-6.554320,3.634968,10.825995,-13.573479,3.923876
1467880875.476883,789.010797,249.659928,-49.667712,-6.450088,3.645191,10.829934,-13.438721,3.929510
1467880875.493493,800.271898,249.082412,-49.749378,-6.320847,3.634855,10.821854,-13.295054,3.937194
1467880875.510174,778.844253,254.249998,-49.840763,-6.188337,3.640069,10.790249,-13.097333,3.940997
1467880875.526816,789.072613,250.242156,-50.011381,-6.022793,3.644308,10.761824,-12.858586,3.936298
1467880875.543505,781.736843,252.582011,-50.112188,-5.833592,3.650221,10.672950,-12.614722,3.944501
1467880875.560132,785.582399,259.192376,-50.286994,-5.605234,3.657113,10.589586,-12.370512,3.946725
1467880875.576784,788.990274,266.493456,-50.477672,-5.424807,3.683863,10.499555,-12.053979,3.965459
1467880875.593429,790.839236,267.931774,-50.548168,-5.196638,3.684070,10.410163,-11.748865,3.983406
1467880875.610138,784.379061,284.837043,-50.718657,-5.041876,3.689029,10.319739,-11.458146,3.970438
1467880875.626766,785.290735,260.597664,-50.927697,-4.978954,3.692387,10.204367,-11.210736,3.949265
1467880875.643431,789.653910,290.597120,-51.044069,-4.917926,3.691344,10.073789,-11.026007,3.960125
1467880875.660085,602.265190,243.842669,-51.807330,-4.754260,3.664222,9.381566,-10.741028,3.955285
1467880875.676798,399.071227,176.411954,-52.517185,-4.634798,3.634024,8.713554,-10.490142,3.933902
1467880875.693407,392.539931,147.260531,-52.716555,-4.533424,3.615489,8.636124,-10.302947,3.929373
1467880875.710066,392.794440,147.061472,-52.891409,-4.440543,3.598345,8.520858,-10.054485,3.914104
1467880875.726669,394.363167,163.195690,-53.155809,-4.297272,3.571355,8.436519,-9.823502,3.917972
1467880875.743413,406.916442,165.937068,-53.324414,-4.148938,3.570834,8.308393,-9.549102,3.905920
1467880875.760063,407.631767,168.717912,-53.542987,-3.992571,3.565352,8.184660,-9.328093,3.894852
1467880875.776765,400.985800,146.336743,-53.805863,-3.845331,3.563739,8.051408,-9.093613,3.888506
1467880875.793366,411.891508,166.791264,-53.968083,-3.708934,3.545603,7.885502,-8.896061,3.893237
1467880875.810055,401.183491,168.507361,-54.243092,-3.572289,3.541973,7.698630,-8.707606,3.904834
1467880875.826684,400.240531,154.865424,-54.429257,-3.518296,3.531502,7.492581,-8.518377,3.891750
1467880875.843437,404.771923,151.662623,-54.750561,-3.478904,3.526338,7.220816,-8.318945,3.901975
1467880875.860007,410.886010,167.226321,-55.103004,-3.361965,3.529105,6.886176,-8.068829,3.900457
1467880875.876725,407.408706,160.389602,-55.623131,-3.215445,3.516278,6.454620,-7.763976,3.910623
1467880875.893411,275.396422,151.399143,-56.227815,-3.066230,3.502380,5.705997,-7.377544,3.909216
1467880875.909993,254.444099,158.638219,-56.704193,-2.839006,3.495535,5.300523,-6.930026,3.907319
1467880875.926648,287.777325,158.984575,-57.086598,-2.682194,3.485910,4.916349,-6.524497,3.903250
1467880875.943323,271.253554,161.575778,-57.439760,-2.506513,3.463148,4.533169,-6.070518,3.890072
1467880875.960005,275.982413,159.097831,-57.677446,-2.313245,3.451019,4.187564,-5.641727,3.878978
1467880875.976752,275.544910,164.639497,-58.078966,-2.222923,3.447090,3.849083,-5.357465,3.857503
1467880875.993268,275.768374,157.569237,-58.340832,-2.156853,3.435378,3.497194,-5.100492,3.863959
1467880876.009949,269.882314,164.017608,-58.736081,-1.968635,3.416072,3.159755,-4.732115,3.849223
1467880876.026690,276.358422,168.414709,-59.047237,-1.729431,3.402626,2.844624,-4.267550,3.843498
