# timestamp,gaze_x,gaze_y,duration
1467793438.747730,1253.270068,256.064620,0.300065
1467793439.014424,1022.550621,288.090589,1.066123
1467793440.047333,1095.732285,285.997737,0.266447
1467793440.280468,1377.744893,253.565000,0.599763
1467793440.846941,1466.555595,241.664353,0.283209
1467793441.096869,1273.355082,246.708374,0.599877
1467793441.663482,1416.072670,249.153035,0.766170
1467793442.396374,1456.586629,234.883754,0.233201
1467793442.596352,1366.242739,241.948402,0.483159
1467793443.046092,1293.923399,248.063746,0.766757
1467793443.796120,1004.876698,270.361535,1.149241
1467793444.912044,1160.862044,254.742905,0.783108
1467793445.661806,1211.584909,255.960102,0.233635
1467793445.861709,1018.640612,273.264762,0.699923
1467793446.528316,1285.527875,258.138179,0.449757
1467793446.944795,1031.054117,274.331228,1.216048
1467793448.127513,1073.654033,278.800330,0.166626
1467793448.260811,999.499090,291.515697,0.983215
1467793449.210808,1087.327568,285.816763,0.416119
1467793449.593593,849.197446,496.576154,0.250000
1467793449.810191,745.639105,679.638704,1.749793
1467793451.526557,772.951682,665.802420,1.149197
1467793452.642513,742.618033,690.589459,1.599372
1467793454.208516,791.036892,720.752653,0.333202
1467793454.525100,724.273749,749.971555,0.383179
1467793454.875005,1090.817189,410.179083,0.216568
1467793455.058243,1103.500953,287.836910,0.350076
1467793455.374905,1043.276815,279.112541,0.466503
1467793455.808170,1089.958141,286.652922,1.532508
1467793457.307361,1028.877283,295.310463,1.183061
1467793458.457107,1090.164805,293.634663,0.649570
1467793459.073335,1064.898915,217.793773,0.449834
1467793459.489926,1019.102236,188.964068,0.433237
1467793459.889866,1024.496073,307.129248,0.916466
1467793460.773016,1025.984163,223.105461,0.399572
1467793461.139213,1023.780735,320.582559,0.699734
1467793461.822409,714.389984,787.877005,0.466448
1467793462.272227,1034.433663,295.340939,0.616506
1467793462.855432,1095.316291,308.244614,0.599597
1467793463.438479,725.787847,894.444492,0.699643
1467793464.104751,730.056628,828.998868,0.249953
1467793464.321379,893.507155,824.818564,0.333725
1467793464.621553,731.430805,843.407438,0.616571
1467793465.204720,895.074395,830.408994,0.382963
1467793465.554522,707.604934,844.216846,0.382871
1467793465.937393,1106.951237,342.361072,0.583116
1467793466.487184,1048.090382,335.621731,0.850076
1467793467.320467,755.453519,817.700122,0.316605
1467793467.603963,904.964990,836.519097,0.699231
1467793468.269922,720.660424,848.117382,0.316616
1467793468.586538,1095.623893,332.710563,0.649668
1467793469.202943,1021.708994,325.801085,0.450032
1467793469.619603,751.251762,669.868628,0.299927
1467793469.886281,748.846401,803.255057,0.282840
1467793470.135910,883.259100,822.136701,0.449718
1467793470.552310,722.305320,837.228126,0.366533
1467793470.918843,1028.651749,318.205089,1.149893
1467793472.035380,983.387123,300.906628,1.015991
1467793473.018080,1011.663785,201.975625,0.966451
1467793473.951305,1073.569196,220.137161,0.316509
1467793474.234395,1023.253028,259.809714,0.899525
1467793475.100667,1091.161104,256.570784,0.416469
1467793475.483855,1189.084645,268.746201,0.633183
1467793476.083573,1290.323723,268.301885,0.550075
1467793476.616846,746.655486,727.429263,0.916139
1467793477.499709,713.535459,829.501337,0.516468
1467793477.999476,1081.885785,368.654992,0.283254
1467793478.249451,1026.771865,297.788960,0.950031
1467793479.166121,1100.056612,293.554605,0.249788
1467793479.382528,1008.565917,190.024512,0.916145
1467793480.265291,1016.695300,304.204289,0.899993
1467793481.132030,754.838410,707.085512,0.366470
1467793481.465246,706.381597,821.457400,0.549461
1467793481.981288,721.185956,936.433630,0.383309
1467793482.364597,1034.105384,396.215669,0.233123
1467793482.564445,1002.321486,316.393076,1.466417
1467793483.997612,993.808487,183.207393,0.449412
1467793484.413714,726.165986,974.949193,0.399971
1467793484.780485,722.566034,922.170557,0.499561
1467793485.246730,816.148014,921.938525,0.366860
1467793485.580275,712.907355,934.851628,0.349883
1467793485.930158,736.978235,923.858525,0.383111
1467793486.313269,978.193339,310.311210,1.049525
1467793487.329470,725.618892,872.090247,0.533145
1467793488.329325,737.571232,900.240932,0.333039
1467793488.629096,732.744802,905.947541,1.315860
1467793489.911615,793.967688,930.626918,1.049911
1467793490.928143,759.505739,924.477976,1.315978
1467793492.210770,715.304612,917.118723,0.266719
1467793492.444110,817.774693,914.494435,0.899801
1467793493.310658,695.355074,940.064226,0.699475
1467793493.993420,776.702613,944.645378,0.633188
1467793494.593168,881.830225,937.312496,0.233372
1467793494.793195,761.894583,961.753380,0.516651
1467793495.276609,862.485458,958.889606,0.516368
1467793495.759965,708.997657,977.237370,0.749328
1467793496.475787,770.536151,982.481662,0.699925
1467793497.142340,694.944422,972.956970,0.250206
1467793497.409222,1021.836526,141.030858,0.333080
1467793497.708933,1009.581312,240.665725,0.599528
1467793498.275198,1063.646641,79.925090,0.216615
1467793498.458427,1020.381178,295.353111,1.049662
1467793499.474725,975.724977,301.873378,1.899182
1467793501.340621,1092.632594,354.811187,0.433159
1467793501.740461,997.268894,353.543977,0.300124
1467793502.007233,1193.379776,364.172241,0.416567
1467793502.390353,1269.774275,367.192222,1.515944
