# timestamp,gaze_x,gaze_y,duration
1467874299.580013,615.021843,573.452356,0.250061
1467874299.796783,555.191818,246.520662,0.216433
1467874299.980134,284.257260,177.305581,0.732767
1467874300.679710,338.513808,167.030279,0.266491
1467874300.912809,430.359991,176.117111,0.416539
1467874301.296034,239.795217,171.778523,0.483136
1467874301.745957,362.338638,162.275726,0.249894
1467874301.962747,477.840522,141.547518,0.383090
1467874302.312591,259.638186,190.213256,0.566438
1467874302.845618,356.836264,190.014264,0.616316
1467874303.428690,464.380889,181.239744,1.199717
1467874304.595139,545.136602,176.638664,0.333219
1467874304.895048,610.466616,173.841703,0.199841
1467874305.061560,250.162511,210.781913,0.466201
1467874305.494455,370.395355,205.366085,0.683016
1467874306.144270,459.093220,201.563722,0.599931
1467874306.710790,543.798370,202.070625,0.366864
1467874307.044109,592.537373,195.777252,0.183367
1467874307.194088,254.775102,242.445404,0.516213
1467874307.676915,355.726609,224.307004,0.366515
1467874308.010174,473.417926,213.270357,0.399835
1467874308.376672,593.296150,210.342061,0.383260
1467874308.726598,266.713789,252.084881,0.750053
1467874309.443147,368.151922,235.539394,0.549622
1467874309.959462,479.162451,235.100684,0.666403
1467874310.592546,570.903738,231.259009,0.449789
1467874311.009012,272.514378,271.852406,0.683297
1467874311.658917,378.418102,267.796309,0.333359
1467874311.958800,483.598555,257.506909,0.499707
1467874312.425100,571.820887,247.651775,0.299933
1467874312.691690,295.765877,291.999827,0.833142
1467874313.508277,446.090189,271.768035,0.716455
1467874314.191546,540.761440,264.244889,0.416072
1467874314.574365,254.800563,302.279191,0.399822
1467874314.940833,302.820042,296.739601,0.799701
1467874315.707254,375.868191,300.325237,0.316660
1467874315.990599,457.100746,291.515326,0.349860
1467874316.307264,568.706406,283.651247,0.766139
1467874317.040036,289.105225,316.592969,0.749725
1467874317.756425,343.938294,311.753383,0.766652
1467874318.489785,262.350050,337.378706,0.499894
1467874318.956345,366.509385,334.127764,0.582745
1467874319.589117,512.690721,324.977298,0.499793
1467874320.055656,592.141036,326.926907,0.383096
1467874320.405423,302.522794,357.891884,0.783389
1467874321.155469,351.777118,348.314714,0.166473
1467874321.288627,277.396563,377.560731,0.466338
1467874321.721602,297.557303,375.855097,0.233230
1467874321.921509,272.583769,383.039076,0.349867
1467874322.238092,340.641855,376.093197,1.166329
1467874323.371054,470.636061,369.740675,0.832899
1467874324.170664,587.258648,363.524008,0.516693
1467874324.653826,255.521714,399.035149,0.633329
1467874325.253749,332.822180,389.344563,0.366794
1467874325.587225,428.490969,388.873624,0.449552
1467874326.003535,544.251093,388.654254,0.616209
1467874326.586438,274.919919,403.517968,0.499865
1467874327.052929,378.861228,401.920049,0.700221
1467874327.719631,510.658829,403.222351,0.816335
1467874328.502725,619.716321,407.609155,0.216204
1467874328.685644,250.694191,443.018452,0.449862
1467874329.102124,412.669278,432.373050,0.416474
1467874329.485321,491.039860,423.076302,0.433427
1467874329.885189,587.587615,418.250983,0.383435
1467874330.235126,253.177949,478.098437,0.866272
1467874331.068061,362.027203,479.135380,0.433159
1467874331.467907,480.150826,476.598886,0.649786
1467874332.084313,628.132066,478.246907,0.300155
1467874332.367763,274.145202,518.688883,1.549229
1467874333.883701,365.349606,524.189215,0.632999
1467874334.483473,444.659661,514.689730,0.466693
1467874334.916818,509.720760,509.182462,0.399805
1467874335.283339,255.085491,535.658102,0.882803
1467874336.132791,381.250091,537.062443,0.583153
1467874336.682558,497.031540,532.429042,0.699904
1467874337.349181,260.786394,572.876654,0.682941
1467874337.998826,383.881091,567.551257,0.516499
1467874338.481865,466.671190,558.917422,0.399901
1467874338.848392,563.738697,559.621886,0.366563
1467874339.181645,283.050114,587.888784,0.700046
1467874339.848500,357.893444,588.919677,0.649261
1467874340.464495,328.854639,586.765269,0.783041
1467874341.214227,411.881404,595.623781,0.299806
1467874341.480728,490.062825,582.522396,0.583428
1467874342.030864,570.935918,580.379095,0.199886
1467874342.197552,233.125743,633.394882,0.715999
1467874342.880333,355.611553,601.450848,0.566298
1467874343.413491,448.043265,615.900216,0.499934
1467874343.879912,454.328850,612.792796,0.483264
1467874344.329822,551.811344,614.191839,0.916228
1467874345.212641,607.644782,609.745838,0.166651
1467874345.345980,245.033375,646.099034,0.566413
1467874345.879193,347.558093,635.837169,0.566645
1467874346.412557,438.905448,630.033108,0.299711
1467874346.678950,527.605365,627.369552,0.433326
1467874347.079068,555.544247,632.982082,0.999251
1467874348.044922,478.489075,637.268254,0.383239
1467874348.394841,279.865511,672.124015,0.699848
1467874349.061312,360.887843,668.131486,0.416683
1467874349.444802,494.345070,654.421267,0.432790
1467874349.844357,598.234001,643.115065,0.866324
1467874350.677303,229.740955,688.922350,0.499805
1467874351.143778,335.381736,681.525789,0.500055
1467874351.610431,424.339967,676.632799,0.566257
1467874352.143378,522.104404,670.512079,0.383208
1467874352.493297,599.559416,669.562853,0.283242
1467874352.743143,261.835001,719.102705,0.849984
1467874353.559854,292.991529,716.013115,0.849310
1467874354.375895,401.635844,681.675955,0.333155
1467874354.675776,522.956703,676.438800,0.366493
1467874355.008952,379.687107,689.316937,0.616554
1467874355.592180,484.202136,649.656397,0.583279
1467874356.142172,249.976736,637.724299,0.449567
1467874356.558415,339.594786,621.993271,0.349837
1467874356.874918,464.346674,614.180946,0.599782
1467874357.441360,537.550615,621.428607,0.249933
1467874357.657988,608.090243,622.406955,0.250134
1467874357.874704,233.498809,664.660845,0.500069
1467874358.341304,329.981281,654.220614,0.383382
1467874358.691296,449.037409,647.514338,0.682674
1467874359.340633,580.962871,639.084041,0.299881
1467874359.607235,233.317547,681.836433,0.500045
1467874360.073676,329.943905,661.515989,0.583509
1467874360.623854,431.214151,654.863831,0.416485
1467874361.006895,521.353903,651.734332,0.316360
1467874361.289974,596.380033,658.033172,0.399826
1467874361.673172,240.571632,695.427387,0.599680
1467874362.239579,337.549896,681.556366,0.400258
1467874362.606277,362.922575,666.260787,1.415907
1467874363.989040,299.537862,691.947274,0.366411
1467874364.322096,432.528700,700.086729,0.866600
1467874365.155188,524.680739,679.770394,0.583068
1467874365.704854,409.912920,682.097322,0.483212
1467874366.154784,522.060129,664.099418,0.966537
1467874367.087951,589.102030,676.821240,0.216575
1467874367.271219,268.062170,713.444539,1.165930
1467874368.403858,362.670439,709.498631,0.483205
1467874368.853721,426.027300,698.418935,0.466419
1467874369.286851,215.058095,739.368240,1.199679
1467874370.453146,424.476259,701.822535,1.999329
1467874372.452475,218.214408,729.789485,1.249365
1467874373.668530,324.114183,735.613553,0.650193
1467874374.285281,402.909616,729.742326,0.533090
1467874374.785157,464.079909,724.252126,0.316167
1467874375.068018,535.025354,722.961048,0.383158
1467874375.417898,242.433551,779.012131,0.366450
1467874375.751081,212.530052,945.794423,0.349850
1467874376.067609,241.252759,762.983463,0.649877
1467874376.767539,392.990018,751.416459,0.300076
1467874377.034153,556.632480,748.361577,0.549634
1467874377.550423,241.874502,790.668127,0.666480
1467874378.333435,287.133361,747.512287,0.233273
1467874378.533324,215.984631,804.427590,0.283431
1467874378.783600,316.988232,801.871417,0.416437
1467874379.166724,410.457713,796.154358,0.283255
1467874379.416701,521.458564,788.738580,0.682735
1467874380.066119,265.235478,825.673428,0.649685
1467874380.682572,423.916013,815.031392,0.649929
1467874381.299462,504.507079,821.762082,0.483051
1467874381.749123,596.541790,811.993940,0.232893
1467874381.948727,247.395162,851.267523,0.483141
1467874382.398546,383.439154,834.870028,0.566458
1467874382.931713,455.444205,825.664491,0.316783
1467874383.215043,545.696800,828.075263,0.399956
1467874383.581753,229.421765,880.428811,0.466579
1467874384.014919,823.545678,311.403850,0.233101
1467874384.214600,741.522249,287.490702,0.799638
1467874384.980935,855.182197,271.335787,0.599869
1467874385.547478,923.567267,270.746693,0.216775
1467874385.730974,725.866660,293.544492,0.616484
1467874386.314061,858.252253,292.256521,0.466144
1467874386.746957,756.941236,266.007561,0.316502
1467874387.030080,786.346562,136.847935,0.616432
1467874387.613194,918.573845,137.461849,1.233416
1467874388.813085,754.167791,263.080605,1.799086
1467874390.578892,849.383752,271.902826,0.549853
1467874391.095453,725.043995,318.943144,0.732912
