participant,answer,confidence,std_temp,slope_temp,std_pupil,slope_pupil
P1,0,60,0.0271807693925,3.14173040725e-05,0.0811296820025,0.00110387839589
P1,1,80,0.0497534255095,-0.00355412438981,0.157964350812,-0.00251123976077
P1,1,80,0.165834349977,-0.000251955160935,0.179103460223,0.000401006529826
P1,0,40,0.159622865572,-0.00298909143751,0.0624518409864,-0.000994351548334
P1,1,40,0.0262647046575,0.00370902486616,0.0575782764517,0.0010628165522
P1,1,40,0.06535025881,0.00567254726742,0.0662668380566,-0.00158244508253
P1,0,80,0.00912854627763,0.00123141837203,0.130379809657,-0.00675577228925
P1,0,60,0.0325946951501,-0.00283156408952,0.175067236929,-0.00281977109183
P3,1,40,0.179701138157,-0.00135227834931,0.0944497960417,0.000543128652527
P3,0,0,0.0439473537083,-0.000617178705271,0.104882839714,-0.00131714628363
P3,0,40,0.018516416691,-0.00025172664196,0.087365220095,-0.00093508988921
P3,1,0,0.0927247801994,-0.00140627431805,0.16084221576,-0.00105048146491
P3,0,40,0.0174853195567,-0.00117768767079,0.0755006370884,0.000909940378833
P3,0,20,0.0102578845094,0.00121207478102,0.152919255954,0.00238735804213
P3,1,60,0.061213872581,0.00285984431075,0.154225848313,-0.0033480315801
P3,1,40,0.0373450447431,-0.00527123119192,0.102654093653,0.0114413419685
P6,0,60,0.112386133063,-0.00493895244597,0.119417699803,0.00236770474993
P6,0,60,0.0448057232308,0.00101993872794,0.126018511601,0.00142087335177
P6,0,40,0.0721036271012,0.000598819146676,0.1381234615,0.00164931524706
P6,0,40,0.0317565541682,-0.00197456601542,0.0908063977326,-0.00644494317707
P6,0,60,0.01263709939,0.000506826730804,0.107515306677,-0.00141770297179
P6,0,40,0.0219834061198,0.00132784096193,0.100434173405,0.00589599646922
P6,1,80,0.0225204122472,-0.00207148892272,0.108625906732,0.00234492546052
P6,0,60,nan,nan,0.0799636446581,-0.00523008056005
P7,1,60,0.00227719027924,0.0,0.26479291588,-0.0558886353545
P7,0,60,0.0980411950546,-0.00511881674566,0.173624479015,0.000141692547869
P7,1,40,0.0854740954188,-0.00661840182149,0.173137473087,-0.00171567269982
P7,0,40,0.0160757137144,-0.00141352199641,0.14268605268,-0.0026942763536
P7,1,60,0.00256163687338,-0.000513745776128,0.0879188013185,0.000927482374504
P7,0,60,0.0747604056154,-0.00162202218284,0.16721840904,0.00468366496038
P7,0,80,0.0101701237422,-0.000744854622324,0.196705334425,0.00410855602552
P7,0,100,0.003220418257,0.000428289863391,0.148364454408,0.00429415653888
P10,0,60,0.547722026562,0.0160036595976,0.127177483632,-0.000818721155702
P10,0,60,0.0675443635832,0.00641382549691,0.129985645706,0.00485473141571
P10,0,40,0.165539593254,0.0108205783933,0.0763436993956,-0.000592936331956
P10,0,0,0.198003908209,0.0170039541576,0.0723214868822,-0.00792598085922
P10,0,20,0.121752446727,0.0149497872602,0.0873000048948,0.00134756860426
P10,0,40,0.0918988701984,0.00981704756546,0.10373347969,0.0146280674622
P10,0,60,0.066817926757,0.00533849480411,0.133378628164,-0.00131326972181
P10,0,40,nan,nan,0.142408895843,-0.00151688655697
P11,0,60,0.202072523723,0.00793589741055,0.116438863206,-0.00103703506456
P11,0,60,0.0509337737408,0.0075522348173,0.125258697744,-0.00733035706891
P11,0,60,0.0358502866872,0.00974015508275,0.0728186357749,0.00181716329185
P11,0,60,0.0538132744972,0.00961529960177,0.0787717860818,-0.00248779851696
P11,0,60,0.0173788575965,0.00521480360382,0.0670021924981,-0.0108339141238
P11,0,60,0.0239399759603,0.00511981341141,0.0851873682608,0.0159490945341
P11,0,60,nan,nan,0.103535212482,-0.00247029783231
P11,0,60,nan,nan,0.0653017855554,-0.00432567873735
P12,0,60,0.158052463437,-0.0017846580604,0.188870666583,-0.00460560513976
P12,0,40,0.0199619074762,-0.000697512400963,0.115359053045,0.00183777997623
P12,0,40,0.0569840643843,0.00262674921306,0.145604287717,0.00385402984969
P12,0,60,0.0106241361244,-0.00030833557347,0.507221240494,-0.00690781314998
P12,0,40,0.0265951716484,0.00284433377785,0.0741755164346,0.00452941921214
P12,0,60,0.0134142438426,-0.00121654974978,0.29739632262,0.00282539000349
P12,0,80,0.0245767349818,0.00154047419831,0.216877705199,0.00539507472121
P12,1,40,nan,nan,0.22328404977,0.00454876611431
P2,0,80,0.021614712819,0.000629654090653,0.109115340377,0.00110769004629
P2,1,40,0.0448794355902,-0.00043050223238,0.116725369507,-0.000136547236194
P2,0,60,0.0157621183538,0.000712509491867,0.115529755427,-0.00113969578618
P2,0,60,0.0459571231053,-0.000353030040338,0.154649146335,0.000449169329801
P2,0,60,0.00316752916281,5.03969390487e-05,0.091257420669,-0.00712592559375
P2,1,60,0.0176833225581,-0.00125230798224,0.0854984003936,-0.00204508484595
P2,0,80,0.00718755171487,-0.000232196538518,0.0898380222114,0.00571571129274
P2,1,100,nan,nan,0.0984892697784,0.000670929968031
P4,0,40,0.116241786882,0.00376039907189,0.109321832277,-0.00395938610822
P4,1,60,0.0884190445416,0.00417443189322,0.100036039559,0.000716958677661
P4,0,20,0.0944022984282,-0.00195458454627,0.122009756656,-0.000298007725384
P4,0,60,0.0384894834269,0.000830446597428,0.133898806036,-0.00273928577152
P4,0,60,0.0113140313152,0.000473863592649,0.092012207654,-0.000267627626826
P4,0,80,0.0655186251129,0.000172911205524,0.133917215165,0.000992164497298
P4,0,80,0.0295756838362,-0.00164873768275,0.0928126652599,0.00118183299518
P4,0,60,nan,nan,0.106950696549,0.000367402511713
P5,0,40,0.223931723982,0.00303174359221,0.142645556226,-0.000736535773682
P5,1,40,0.0400785585909,0.0026163813261,0.0863845941666,-0.00698573814069
