participant,answer,confidence,std_temp,slope_temp,std_pupil,slope_pupil
P1,0,60,0.0271139670398,7.85432601811e-06,0.0811296820025,0.00110387839589
P1,1,80,0.051132418475,-0.00349140454764,0.157964350812,-0.00251123976077
P1,1,80,0.165008756342,-0.000229853831029,0.179103460223,0.000401006529826
P1,0,40,0.161081974438,-0.00300862798286,0.0624518409864,-0.000994351548334
P1,1,40,0.0220424084119,0.00312100872884,0.0575782764517,0.0010628165522
P1,1,40,0.0616023145321,0.00564460368482,0.0662668380566,-0.00158244508253
P1,0,80,0.01382631881,0.00158325219261,0.130379809657,-0.00675577228925
P1,0,60,0.0319352371997,-0.00276933191173,0.175067236929,-0.00281977109183
P3,1,40,0.181220012476,-0.00138052437227,0.0944497960417,0.000543128652527
P3,0,0,0.042120359461,-0.000504174153601,0.104882839714,-0.00131714628363
P3,0,40,0.0186327398437,-0.000382251567421,0.087365220095,-0.00093508988921
P3,1,0,0.0879575292391,-0.00135176756154,0.16084221576,-0.00105048146491
P3,0,40,0.0202776643988,-0.00141322520494,0.0755006370884,0.000909940378833
P3,0,20,0.0083843409349,0.000858552969892,0.152919255954,0.00238735804213
P3,1,60,0.0672527687083,0.00340135329267,0.154225848313,-0.0033480315801
P3,1,40,0.0372456494104,-0.00515580277166,0.102654093653,0.0114413419685
P6,0,60,0.113222054752,-0.00502611043031,0.119417699803,0.00236770474993
P6,0,60,0.0447340751848,0.000954136229366,0.126018511601,0.00142087335177
P6,0,40,0.0733838453635,0.000642849966285,0.1381234615,0.00164931524706
P6,0,40,0.0356716013147,-0.00217605234353,0.0908063977326,-0.00644494317707
P6,0,60,0.0116528647207,0.000488725776132,0.107515306677,-0.00141770297179
P6,0,40,0.0232130770105,0.0012828294039,0.100434173405,0.00589599646922
P6,1,80,0.016417866825,-0.00147250417398,0.108625906732,0.00234492546052
P6,0,60,nan,nan,0.0799636446581,-0.00523008056005
P7,1,60,0.00244722693422,0.000101219289101,0.26479291588,-0.0558886353545
P7,0,60,0.0976642636281,-0.00493379927292,0.173624479015,0.000141692547869
P7,1,40,0.086990935387,-0.0068605384735,0.173137473087,-0.00171567269982
P7,0,40,0.0167037557989,-0.00182723575146,0.14268605268,-0.0026942763536
P7,1,60,0.00295699199405,-0.000684994368171,0.0879188013185,0.000927482374504
P7,0,60,0.0776642869493,-0.00155810012637,0.16721840904,0.00468366496038
P7,0,80,0.00938363002516,-0.000848306653203,0.196705334425,0.00410855602552
P7,0,100,0.00266267605052,0.000367105597192,0.148364454408,0.00429415653888
P10,0,60,0.542158531729,0.0159402966919,0.127177483632,-0.000818721155702
P10,0,60,0.0665754700312,0.00641382549691,0.129985645706,0.00485473141571
P10,0,40,0.162326214765,0.0105657459311,0.0763436993956,-0.000592936331956
P10,0,0,0.188905573739,0.0163166685854,0.0723214868822,-0.00792598085922
P10,0,20,0.12834673117,0.0160309439449,0.0873000048948,0.00134756860426
P10,0,40,0.0956869692996,0.0100291442721,0.10373347969,0.0146280674622
P10,0,60,0.0711579336192,0.00564557636364,0.133378628164,-0.00131326972181
P10,0,40,nan,nan,0.142408895843,-0.00151688655697
P11,0,60,0.19413638605,0.00765334997953,0.116438863206,-0.00103703506456
P11,0,60,0.0501382089828,0.00809520594795,0.125258697744,-0.00733035706891
P11,0,60,0.0367525509319,0.00965690589401,0.0728186357749,0.00181716329185
P11,0,60,0.0478598213536,0.00973184868785,0.0787717860818,-0.00248779851696
P11,0,60,0.00973704267219,0.00415055797039,0.0670021924981,-0.0108339141238
P11,0,60,0.0277995742149,0.00660186466208,0.0851873682608,0.0159490945341
P11,0,60,nan,nan,0.103535212482,-0.00247029783231
P11,0,60,nan,nan,0.0653017855554,-0.00432567873735
P12,0,60,0.154424485072,-0.00165354032535,0.188870666583,-0.00460560513976
P12,0,40,0.0227131100569,-0.00119311331744,0.115359053045,0.00183777997623
P12,0,40,0.0571250263812,0.00282300059105,0.145604287717,0.00385402984969
P12,0,60,0.0112849709528,-0.000616671146939,0.507221240494,-0.00690781314998
P12,0,40,0.0257786722084,0.00313606031917,0.0741755164346,0.00452941921214
P12,0,60,0.0137561578465,-0.00116040129979,0.29739632262,0.00282539000349
P12,0,80,0.025422944257,0.0013177550371,0.216877705199,0.00539507472121
P12,1,40,nan,nan,0.22328404977,0.00454876611431
P2,0,80,0.0197076450708,0.000514003339309,0.109115340377,0.00110769004629
P2,1,40,0.0439163366881,-0.000411667759714,0.116725369507,-0.000136547236194
P2,0,60,0.0157746707315,0.000589663027752,0.115529755427,-0.00113969578618
P2,0,60,0.0458836254737,-0.000383728304715,0.154649146335,0.000449169329801
P2,0,60,0.00490509938737,0.000352778573342,0.091257420669,-0.00712592559375
P2,1,60,0.0154080014364,-0.00125230798224,0.0854984003936,-0.00204508484595
P2,0,80,0.00721343191553,-0.000290245673148,0.0898380222114,0.00571571129274
P2,1,100,nan,nan,0.0984892697784,0.000670929968031
P4,0,40,0.113058855398,0.0036975761757,0.109321832277,-0.00395938610822
P4,1,60,0.0900015624864,0.00414373754107,0.100036039559,0.000716958677661
P4,0,20,0.0940504319833,-0.00178379560533,0.122009756656,-0.000298007725384
P4,0,60,0.0365442216829,0.00070357281171,0.133898806036,-0.00273928577152
P4,0,60,0.012774266499,0.000631818123532,0.092012207654,-0.000267627626826
P4,0,80,0.0653016981031,0.000157875448522,0.133917215165,0.000992164497298
P4,0,80,0.0224656218346,-0.00113629218676,0.0928126652599,0.00118183299518
P4,0,60,nan,nan,0.106950696549,0.000367402511713
P5,0,40,0.224903859829,0.0030530938992,0.142645556226,-0.000736535773682
P5,1,40,0.0406593936021,0.00256507973147,0.0863845941666,-0.00698573814069
P5,0,40,0.0238863047698,0.00304224261278,0.0727815202421,0.00726228534196
P5,0,40,0.00941573933749,-0.00076603866838,0.0779443247797,-0.00013418032159
P5,0,40,0.0174888464927,-0.00171111580012,0.108598091117,0.000401577489341
P5,0,60,0.0462881363487,-0.00192478461664,0.109382357612,0.00131319274674
P5,0,60,0.00767390962215,0.000677799087949,0.127914056269,0.00183005753746
P5,0,60,nan,nan,0.144293954552,0.00170342512539
P8,0,0,0.145088492202,-0.00733991127604,0.163559467652,-0.00805223428233
P8,0,40,0.0878288469779,-0.00555829931501,0.109668143277,-0.00185718370466
P8,0,0,0.0565300769502,-0.00180301023782,0.110120988323,0.00198656831236
P8,0,60,0.00846850373771,0.00192793966008,0.120696299982,-0.00722225476061
P8,0,60,0.0126378117455,0.00459633753281,0.0757803762885,-0.00420875812968
P8,0,80,0.0545937837993,-0.0018165002728,0.193602808379,-0.00190593159227
P8,0,60,0.0266930549708,-0.00170217947461,0.128187595642,0.000802089292101
P8,0,80,nan,nan,0.211229567582,0.0174136200261
P9,0,60,0.0658982829349,-0.00304568215399,0.12806922835,-0.00526832617157
P9,0,40,0.0263503401407,0.00204716349181,0.160314107895,0.00100255737685
P9,0,40,0.0562366037381,0.00359347066929,0.0924741726712,0.000304299834918
P9,0,60,0.00761130559031,0.000643185052515,0.106359105372,-0.00344848260085
P9,0,60,0.0037621597725,-0.000898101201789,0.0372020475138,-0.00507614283428
P9,1,80,0.00180277563773,6.33149788048e-05,0.10343532487,0.000257755278715
P9,0,60,0.0120963236718,-0.0012594529824,0.112684064347,-0.00625195774815
P9,0,60,nan,nan,0.116085454672,0.0118834214476
P13,0,60,0.168882079176,-0.00544881607279,0.105044732431,-0.00196095167728
P13,0,60,0.0882170607485,0.00206693713225,0.150901764266,-0.00203292785746
P13,0,80,0.18627603172,0.00600732852117,0.100676536493,-0.000301226422562
P13,0,80,0.044587474692,-0.000365022338787,0.100275703056,-0.000993113469275
P13,0,80,0.0083880495349,-0.00151725452775,0.0888133877184,0.00701542079521
P13,0,80,0.0209666838716,0.000839478280248,0.116256909394,-0.00333560698383
P13,1,80,0.0358392846049,-0.00155846773546,0.101205875921,0.00508008532837
P13,0,60,nan,nan,0.147572861804,0.0083061966457
P14,0,40,0.0379399252591,0.0019221771481,0.121146367759,-0.013278907484
P14,0,40,0.0238399805905,0.00277433131324,0.0807159201232,-0.00391278191672
P14,0,20,0.0729713603286,0.00213650409847,0.139243151468,0.00131108128736
P14,0,20,0.0368880648419,0.000917925283373,0.123985734069,0.00416658207231
P14,0,20,0.0162348541542,0.000881163467691,0.113974117436,0.00129981978113
P14,0,40,0.0258040670543,0.00106292507088,0.141538709727,-0.00127318900378
P14,1,40,nan,nan,0.0983154215492,-0.00428343820923
P14,0,60,nan,nan,0.0804997612075,0.0160874630581
