# timestamp,time_from_start,face,face_filtered,nose,nose_filtered,background
1467791009.618,0.000,34.506,nan,35.163,nan,22.976
1467791010.630,1.012,34.310,nan,34.963,nan,23.159
1467791011.659,2.041,34.381,nan,35.054,nan,23.335
1467791012.697,3.079,34.320,nan,34.984,nan,23.694
1467791013.701,4.083,34.194,nan,34.880,nan,23.884
1467791014.729,5.111,34.198,nan,34.731,nan,24.034
1467791015.764,6.146,34.174,nan,34.749,nan,24.053
1467791016.790,7.172,34.185,nan,34.767,nan,24.028
1467791017.807,8.189,34.212,nan,34.920,nan,24.044
1467791018.847,9.229,34.159,nan,34.733,nan,24.167
1467791019.862,10.244,34.176,nan,34.861,nan,24.052
1467791020.890,11.272,34.161,nan,34.807,nan,23.956
1467791021.907,12.289,34.137,nan,34.689,nan,23.999
1467791022.937,13.319,34.149,nan,34.865,nan,23.849
1467791023.972,14.354,34.249,nan,34.959,nan,23.727
1467791024.999,15.381,34.197,nan,34.976,nan,23.623
1467791026.024,16.406,34.193,nan,34.879,nan,23.572
1467791027.042,17.424,34.232,nan,34.889,nan,23.441
1467791028.071,18.453,34.288,nan,35.032,nan,23.308
1467791029.095,19.477,34.274,nan,34.932,nan,23.235
1467791030.117,20.499,34.300,nan,34.971,nan,23.171
1467791031.139,21.521,34.367,nan,35.042,nan,23.006
1467791032.169,22.551,34.435,nan,35.098,nan,22.869
1467791033.190,23.572,34.424,nan,35.185,nan,22.759
1467791034.231,24.613,34.446,nan,35.128,nan,22.761
1467791035.252,25.634,34.385,nan,35.006,nan,22.777
1467791036.275,26.657,34.470,34.435,35.175,35.096,22.675
1467791037.294,27.676,34.486,34.438,35.124,35.102,22.619
1467791038.325,28.707,34.504,34.441,35.187,35.103,22.539
1467791039.349,29.731,34.516,34.447,35.178,35.110,22.507
1467791040.372,30.754,34.538,34.452,35.275,35.115,22.443
1467791041.514,31.896,34.507,34.457,35.229,35.123,22.401
1467791042.534,32.916,34.567,34.465,35.172,35.130,22.270
1467791043.567,33.949,34.577,34.474,35.197,35.142,22.229
1467791044.588,34.970,34.595,34.483,35.223,35.152,22.251
1467791045.618,36.000,34.621,34.491,35.186,35.163,22.216
1467791046.651,37.033,34.602,34.500,35.217,35.171,22.276
1467791047.679,38.061,34.593,34.509,35.318,35.184,22.261
1467791048.693,39.075,34.570,34.518,35.216,35.194,22.257
1467791049.705,40.087,34.561,34.527,35.257,35.205,22.230
1467791050.743,41.125,34.582,34.537,35.205,35.217,22.268
1467791051.772,42.154,34.607,34.546,35.316,35.226,22.190
1467791052.793,43.175,34.677,34.553,35.224,35.231,22.143
1467791053.823,44.205,34.641,34.562,35.196,35.237,22.124
1467791054.846,45.228,34.675,34.571,35.248,35.247,22.134
1467791055.881,46.263,34.652,34.580,35.382,35.257,22.147
1467791056.901,47.283,34.526,34.587,35.186,35.264,22.255
1467791057.930,48.312,34.605,34.595,35.292,35.274,22.211
1467791058.955,49.337,34.603,34.601,35.240,35.280,22.210
1467791059.964,50.346,34.581,34.605,35.276,35.286,22.226
1467791061.000,51.382,34.617,34.610,35.297,35.293,22.243
1467791062.025,52.407,34.596,34.613,35.301,35.296,22.201
1467791063.049,53.431,34.616,34.617,35.327,35.301,22.185
1467791064.081,54.463,34.670,34.622,35.400,35.310,22.173
1467791065.116,55.498,34.705,34.626,35.482,35.314,22.168
1467791066.137,56.519,34.641,34.630,35.251,35.319,22.244
1467791067.159,57.541,34.652,34.633,35.347,35.322,22.171
1467791068.181,58.563,34.640,34.637,35.298,35.328,22.224
1467791069.214,59.596,34.626,34.637,35.420,35.330,22.180
1467791070.228,60.610,34.641,34.640,35.315,35.333,22.182
1467791071.251,61.633,34.694,34.641,35.358,35.338,22.109
1467791072.385,62.767,34.636,34.643,35.315,35.343,22.191
1467791073.418,63.800,34.653,34.644,35.386,35.347,22.157
1467791074.449,64.831,34.674,34.646,35.316,35.353,22.215
1467791075.497,65.879,34.674,34.645,35.458,35.359,22.179
1467791076.509,66.891,34.650,34.647,35.437,35.363,22.230
1467791077.521,67.903,34.669,34.649,35.402,35.370,22.219
1467791078.549,68.931,34.671,34.650,35.344,35.376,22.226
1467791079.589,69.971,34.670,34.652,35.370,35.383,22.274
1467791080.588,70.970,34.613,34.654,35.230,35.389,22.394
1467791081.624,72.006,34.676,34.655,35.325,35.397,22.436
1467791082.649,73.031,34.707,34.655,35.390,35.407,22.341
1467791083.680,74.062,34.749,34.656,35.474,35.415,22.268
1467791084.702,75.084,34.682,34.656,35.417,35.421,22.371
1467791085.824,76.206,34.711,34.657,35.461,35.427,22.329
1467791086.876,77.258,34.583,34.658,35.317,35.432,22.395
1467791087.906,78.288,34.611,34.658,35.377,35.437,22.449
1467791088.926,79.308,34.732,34.659,35.446,35.443,22.290
1467791089.954,80.336,34.559,34.659,35.347,35.449,22.460
1467791090.969,81.351,34.652,34.660,35.443,35.454,22.379
1467791091.995,82.377,34.713,34.660,35.471,35.459,22.382
1467791093.020,83.402,34.665,34.661,35.424,35.464,22.487
1467791094.057,84.439,34.692,34.660,35.371,35.466,22.466
1467791095.075,85.457,34.697,34.660,35.378,35.472,22.417
1467791096.094,86.476,34.701,34.661,35.486,35.478,22.415
1467791097.121,87.503,34.580,34.662,35.370,35.484,22.526
1467791098.157,88.539,34.636,34.662,35.425,35.487,22.461
1467791099.184,89.566,34.639,34.662,35.451,35.492,22.486
1467791100.211,90.593,34.686,34.662,35.458,35.496,22.425
1467791101.226,91.608,34.665,34.662,35.436,35.501,22.451
1467791102.252,92.634,34.688,34.663,35.516,35.507,22.416
1467791103.286,93.668,34.586,34.661,35.549,35.511,22.488
1467791104.306,94.688,34.698,34.660,35.553,35.513,22.381
1467791105.326,95.708,34.647,34.660,35.563,35.515,22.330
1467791106.351,96.733,34.634,34.661,35.605,35.519,22.365
1467791107.389,97.771,34.676,34.661,35.590,35.524,22.305
1467791108.411,98.793,34.724,34.662,35.658,35.530,22.272
1467791109.429,99.811,34.753,34.663,35.684,35.537,22.246
1467791110.464,100.846,34.658,34.664,35.700,35.544,22.425
1467791111.490,101.872,34.679,34.666,35.695,35.550,22.376
1467791112.518,102.900,34.665,34.665,35.719,35.552,22.390
1467791113.544,103.926,34.597,34.666,35.532,35.557,22.506
1467791114.570,104.952,34.653,34.667,35.548,35.561,22.413
1467791115.586,105.968,34.580,34.669,35.548,35.567,22.421
1467791116.729,107.111,34.645,34.669,35.603,35.570,22.441
1467791117.751,108.133,34.652,34.668,35.602,35.573,22.424
1467791118.781,109.163,34.639,34.671,35.568,35.579,22.442
1467791119.817,110.199,34.629,34.673,35.602,35.586,22.441
1467791120.829,111.211,34.710,34.675,35.689,35.592,22.320
1467791121.864,112.246,34.656,34.677,35.568,35.599,22.363
1467791122.893,113.275,34.640,34.678,35.609,35.606,22.419
1467791123.915,114.297,34.705,34.682,35.653,35.615,22.479
1467791124.930,115.312,34.662,34.685,35.654,35.621,22.444
1467791125.954,116.336,34.661,34.689,35.587,35.627,22.361
1467791126.978,117.360,34.644,34.691,35.593,35.632,22.391
1467791128.010,118.392,34.675,34.694,35.568,35.637,22.296
1467791129.037,119.419,34.668,34.695,35.596,35.641,22.340
1467791130.045,120.427,34.671,34.696,35.710,35.646,22.328
1467791131.997,122.379,34.592,34.698,35.560,35.650,22.450
1467791133.025,123.407,34.595,34.702,35.565,35.654,22.451
1467791134.055,124.437,34.635,34.703,35.510,35.657,22.434
1467791135.073,125.455,34.742,34.706,35.633,35.660,22.271
1467791136.098,126.480,34.677,34.709,35.650,35.664,22.326
