# timestamp,time_from_start,face,face_filtered,nose,nose_filtered,background
1467799058.322,0.000,33.626,nan,31.838,nan,23.107
1467799059.320,0.998,33.992,nan,31.997,nan,23.089
1467799060.344,2.022,33.787,nan,31.839,nan,23.305
1467799061.371,3.049,33.894,nan,31.812,nan,23.181
1467799062.391,4.069,33.955,nan,32.049,nan,23.120
1467799063.413,5.091,33.947,nan,31.948,nan,23.143
1467799064.436,6.114,33.919,nan,31.915,nan,23.200
1467799065.460,7.138,33.948,nan,31.781,nan,23.228
1467799066.493,8.171,33.975,nan,31.929,nan,23.214
1467799067.523,9.201,33.954,nan,31.685,nan,23.219
1467799068.551,10.229,33.975,nan,31.739,nan,23.236
1467799069.569,11.247,33.963,nan,31.671,nan,23.200
1467799070.595,12.273,33.975,nan,31.615,nan,23.192
1467799071.623,13.301,34.004,nan,31.889,nan,23.151
1467799072.646,14.324,33.976,nan,31.946,nan,23.192
1467799073.669,15.347,33.988,nan,32.021,nan,23.178
1467799074.697,16.375,34.017,nan,32.032,nan,23.152
1467799075.722,17.400,33.953,nan,31.846,nan,23.151
1467799076.754,18.432,34.037,nan,32.036,nan,23.085
1467799077.777,19.455,34.072,nan,32.105,nan,23.121
1467799078.807,20.485,34.074,nan,32.061,nan,23.078
1467799079.824,21.502,34.048,nan,31.968,nan,23.090
1467799080.851,22.529,34.101,nan,32.064,nan,22.983
1467799081.879,23.557,33.950,nan,31.975,nan,23.198
1467799082.905,24.583,33.989,nan,32.013,nan,23.118
1467799083.923,25.601,34.027,nan,32.061,nan,23.073
1467799084.950,26.628,34.016,33.977,32.010,31.974,23.089
1467799085.972,27.650,33.954,33.984,31.944,31.981,23.128
1467799087.013,28.691,34.028,33.990,31.800,31.986,23.077
1467799088.028,29.706,33.992,33.990,31.978,31.991,23.098
1467799089.057,30.735,34.031,33.993,32.117,31.996,23.037
1467799090.084,31.762,34.006,33.994,32.049,32.001,23.112
1467799091.108,32.786,33.935,33.995,31.861,32.002,23.213
1467799092.132,33.810,33.973,33.996,31.982,32.006,23.177
1467799093.152,34.830,33.997,33.997,32.164,32.011,23.178
1467799094.184,35.862,33.995,33.998,31.991,32.018,23.147
1467799095.211,36.889,33.994,33.997,31.990,32.021,23.193
1467799096.227,37.905,33.916,33.998,31.918,32.029,23.314
1467799097.266,38.944,34.021,33.998,32.031,32.035,23.182
1467799098.531,40.209,33.956,34.001,31.792,32.042,23.177
1467799100.220,41.898,34.019,34.003,32.125,32.045,23.169
1467799101.245,42.923,33.928,34.004,32.005,32.046,23.321
1467799102.278,43.956,33.969,34.006,31.836,32.049,23.245
1467799103.301,44.979,33.926,34.009,32.083,32.053,23.280
1467799104.323,46.001,33.997,34.009,32.114,32.057,23.193
1467799105.351,47.029,34.058,34.011,32.226,32.062,23.053
1467799106.382,48.060,34.100,34.010,32.250,32.065,23.029
1467799107.403,49.081,33.992,34.010,32.051,32.066,23.183
1467799108.429,50.107,33.965,34.009,31.950,32.065,23.252
1467799109.453,51.131,34.070,34.009,32.228,32.068,23.165
