# timestamp,time_from_start,face,face_filtered,nose,nose_filtered,background
1467872795.376,0.000,33.963,nan,33.554,nan,23.603
1467872796.354,0.978,33.908,nan,33.610,nan,24.037
1467872797.379,2.003,33.759,nan,33.369,nan,24.436
1467872798.404,3.028,33.738,nan,33.324,nan,24.601
1467872799.440,4.064,33.660,nan,33.172,nan,24.804
1467872800.466,5.090,33.591,nan,33.240,nan,24.834
1467872801.485,6.109,33.475,nan,33.048,nan,25.080
1467872802.516,7.140,33.480,nan,33.198,nan,25.029
1467872803.542,8.166,33.492,nan,33.086,nan,25.035
1467872804.567,9.191,33.492,nan,33.162,nan,24.983
1467872805.581,10.205,33.537,nan,33.358,nan,24.762
1467872806.609,11.233,33.543,nan,33.336,nan,24.706
1467872807.637,12.261,33.598,nan,33.365,nan,24.560
1467872808.659,13.283,33.561,nan,33.312,nan,24.425
1467872809.699,14.323,33.540,nan,33.219,nan,24.357
1467872810.723,15.347,33.570,nan,33.294,nan,24.224
1467872811.857,16.481,33.604,nan,33.369,nan,24.147
1467872812.879,17.503,33.600,nan,33.385,nan,24.016
1467872813.909,18.533,33.634,nan,33.464,nan,23.911
1467872814.933,19.557,33.751,nan,33.576,nan,23.683
1467872815.951,20.575,33.721,nan,33.602,nan,23.596
1467872816.980,21.604,33.728,nan,33.593,nan,23.478
1467872818.006,22.630,33.713,nan,33.610,nan,23.486
1467872819.028,23.652,33.811,nan,33.740,nan,23.323
1467872820.053,24.677,33.928,nan,33.824,nan,23.102
1467872821.080,25.704,33.881,nan,33.788,nan,23.081
1467872822.118,26.742,33.807,33.860,33.751,33.644,23.056
1467872823.144,27.768,33.872,33.864,33.793,33.653,22.933
1467872824.168,28.792,33.921,33.868,33.821,33.662,22.844
1467872825.192,29.816,33.905,33.875,33.808,33.670,22.786
1467872826.216,30.840,33.899,33.883,33.841,33.682,22.756
1467872827.236,31.860,33.948,33.892,33.887,33.696,22.703
1467872828.263,32.887,33.933,33.904,33.783,33.711,22.702
1467872829.286,33.910,34.037,33.915,33.915,33.725,22.599
1467872830.311,34.935,34.060,33.928,33.956,33.744,22.530
1467872831.340,35.964,34.030,33.939,33.936,33.758,22.495
1467872832.372,36.996,34.068,33.951,33.892,33.777,22.414
1467872833.399,38.023,34.027,33.966,33.779,33.796,22.556
1467872834.422,39.046,33.993,33.980,33.803,33.810,22.582
1467872835.446,40.070,34.018,33.993,33.789,33.826,22.506
1467872836.465,41.089,34.135,34.005,33.936,33.841,22.448
1467872837.493,42.117,34.098,34.018,33.982,33.859,22.425
1467872838.525,43.149,34.091,34.031,33.806,33.878,22.495
1467872839.540,44.164,34.105,34.042,33.808,33.894,22.482
1467872840.570,45.194,33.974,34.055,33.783,33.911,22.691
1467872841.603,46.227,34.028,34.068,33.808,33.924,22.606
1467872842.630,47.254,34.081,34.082,33.889,33.940,22.579
1467872843.655,48.279,34.147,34.091,33.917,33.954,22.541
1467872844.676,49.300,34.157,34.101,33.924,33.965,22.531
1467872845.704,50.328,34.152,34.111,33.888,33.975,22.512
1467872846.726,51.350,34.181,34.121,33.929,33.984,22.515
1467872847.746,52.370,34.082,34.128,33.927,33.994,22.586
1467872848.773,53.397,34.121,34.134,33.929,34.002,22.610
1467872849.797,54.421,34.191,34.142,33.999,34.011,22.479
1467872850.829,55.453,34.190,34.153,34.033,34.022,22.492
1467872851.861,56.485,34.202,34.160,34.039,34.033,22.524
1467872852.880,57.504,34.272,34.166,34.082,34.040,22.506
1467872853.912,58.536,34.202,34.174,34.035,34.052,22.533
1467872854.936,59.560,34.247,34.183,34.074,34.063,22.483
1467872855.960,60.584,34.312,34.191,34.016,34.073,22.599
1467872856.975,61.599,34.184,34.199,33.969,34.086,22.680
1467872858.005,62.629,34.199,34.205,34.088,34.096,22.626
1467872859.040,63.664,34.099,34.211,33.982,34.107,22.650
1467872860.055,64.679,34.140,34.216,34.147,34.116,22.619
1467872861.189,65.813,34.303,34.221,34.191,34.126,22.505
1467872862.225,66.849,34.300,34.226,34.129,34.138,22.492
1467872863.251,67.875,34.286,34.232,34.209,34.151,22.529
1467872864.271,68.895,34.242,34.238,34.224,34.164,22.571
1467872865.307,69.931,34.268,34.242,34.280,34.174,22.493
1467872866.330,70.954,34.242,34.248,34.290,34.185,22.548
1467872867.349,71.973,34.199,34.253,34.170,34.197,22.623
1467872868.379,73.003,34.295,34.259,34.288,34.211,22.498
1467872869.403,74.027,34.357,34.265,34.091,34.225,22.596
1467872870.423,75.047,34.363,34.271,34.337,34.237,22.600
1467872871.448,76.072,34.249,34.277,34.346,34.250,22.792
1467872872.477,77.101,34.271,34.283,34.239,34.261,22.779
1467872873.508,78.132,34.265,34.289,34.107,34.275,22.692
1467872874.530,79.154,34.266,34.297,34.124,34.291,22.749
1467872875.555,80.179,34.234,34.301,34.265,34.302,22.723
1467872876.581,81.205,34.261,34.307,34.265,34.313,22.775
1467872877.613,82.237,34.293,34.313,34.300,34.325,22.715
1467872878.633,83.257,34.394,34.316,34.356,34.332,22.609
1467872879.660,84.284,34.288,34.319,34.397,34.339,22.760
1467872880.685,85.309,34.242,34.322,34.226,34.348,22.812
1467872881.706,86.330,34.345,34.322,34.452,34.355,22.758
1467872882.736,87.360,34.375,34.323,34.436,34.361,22.705
1467872883.766,88.390,34.396,34.326,34.467,34.370,22.687
1467872884.790,89.414,34.394,34.327,34.477,34.381,22.605
1467872885.822,90.446,34.357,34.330,34.488,34.393,22.652
1467872886.845,91.469,34.391,34.332,34.550,34.403,22.642
1467872887.871,92.495,34.296,34.336,34.446,34.412,22.773
1467872889.014,93.638,34.355,34.340,34.441,34.422,22.737
1467872890.028,94.652,34.314,34.340,34.441,34.427,22.815
1467872891.061,95.685,34.335,34.341,34.473,34.433,22.705
1467872892.080,96.704,34.312,34.342,34.521,34.438,22.689
1467872893.107,97.731,34.353,34.345,34.503,34.446,22.695
1467872894.126,98.750,34.423,34.345,34.570,34.449,22.636
1467872895.157,99.781,34.375,34.347,34.459,34.454,22.666
1467872896.189,100.813,34.432,34.350,34.604,34.462,22.632
1467872897.213,101.837,34.326,34.351,34.550,34.469,22.709
1467872898.230,102.854,34.374,34.351,34.454,34.478,22.708
1467872899.258,103.882,34.373,34.351,34.580,34.483,22.674
1467872900.288,104.912,34.473,34.354,34.524,34.489,22.638
